location_id,city,state,country
1,Washington,DC,India
2,Fort Worth,TX,United States
3,Austin,TX,United States
4,Charlotte,NC,India
5,San Antonio,TX,Canada
6,Los Angeles,CA,United States
7,Chicago,IL,Australia
8,Denver,CO,India
9,Washington,DC,United States
10,Houston,TX,United States
11,Jacksonville,FL,Australia
12,Charlotte,NC,Australia
13,New York,NY,United States
14,Seattle,WA,United States
15,Indianapolis,IN,United States
16,Jacksonville,FL,United States
17,Philadelphia,PA,United States
18,Phoenix,AZ,United States
19,San Diego,CA,United States
20,Phoenix,AZ,Canada
21,Dallas,TX,United States
22,Columbus,OH,Canada
23,San Francisco,CA,United States
24,San Antonio,TX,United Kingdom
25,Denver,CO,United States
26,Charlotte,NC,United Kingdom
27,Houston,TX,India
28,Columbus,OH,United Kingdom
29,Chicago,IL,United States
30,San Antonio,TX,United States
31,San Diego,CA,India
32,San Diego,CA,Australia
33,San Antonio,TX,Australia
34,San Jose,CA,India
35,San Jose,CA,Australia
36,Columbus,OH,United States
37,San Jose,CA,United States
38,San Diego,CA,Canada
39,Jacksonville,FL,India
40,Austin,TX,India
41,Charlotte,NC,Canada
42,Los Angeles,CA,India
43,Philadelphia,PA,Canada
44,San Francisco,CA,India
45,Charlotte,NC,United States
46,Phoenix,AZ,India
47,Austin,TX,Canada
48,Houston,TX,United Kingdom
49,Washington,DC,United Kingdom
50,New York,NY,United Kingdom
51,Austin,TX,United Kingdom
52,Phoenix,AZ,United Kingdom
53,Houston,TX,Canada
54,Dallas,TX,Canada
55,Jacksonville,FL,Canada
56,Denver,CO,United Kingdom
57,Houston,TX,Australia
58,San Jose,CA,Canada
59,Dallas,TX,India
60,Denver,CO,Canada
61,Fort Worth,TX,India
62,Columbus,OH,Australia
63,Chicago,IL,India
64,San Jose,CA,United Kingdom
65,Columbus,OH,India
66,Fort Worth,TX,Canada
67,San Antonio,TX,India
68,New York,NY,Australia
69,Seattle,WA,Canada
70,Seattle,WA,India
71,Indianapolis,IN,India
72,Chicago,IL,United Kingdom
73,New York,NY,India
74,Philadelphia,PA,Australia
75,San Francisco,CA,Australia
76,Los Angeles,CA,United Kingdom
77,San Francisco,CA,United Kingdom
78,Philadelphia,PA,India
79,Washington,DC,Australia
80,Los Angeles,CA,Canada
81,Seattle,WA,Australia
82,Indianapolis,IN,United Kingdom
83,Chicago,IL,Canada
84,Fort Worth,TX,United Kingdom
85,Fort Worth,TX,Australia
86,Indianapolis,IN,Canada
87,San Diego,CA,United Kingdom
88,San Francisco,CA,Canada
89,Seattle,WA,United Kingdom
90,Jacksonville,FL,United Kingdom
91,Phoenix,AZ,Australia
92,Dallas,TX,United Kingdom
93,Austin,TX,Australia
94,Washington,DC,Canada
95,Philadelphia,PA,United Kingdom
96,New York,NY,Canada
97,Denver,CO,Australia
98,Los Angeles,CA,Australia
99,Dallas,TX,Australia
100,Indianapolis,IN,Australia
