order_id,order_date,customer_id,seller_id,location_id,paymentmethod_id,orderstatus_id
ORD0000001,1/31/2023,CUST001504,SELL01967,1,1,1
ORD0000002,12/30/2023,CUST000178,SELL01298,2,2,1
ORD0000003,5/10/2022,CUST047516,SELL00908,3,1,1
ORD0000004,7/18/2023,CUST030059,SELL01164,4,3,1
ORD0000005,2/4/2023,CUST048677,SELL01411,5,4,2
ORD0000006,12/31/2022,CUST042705,SELL01494,6,5,1
ORD0000007,9/20/2024,CUST037667,SELL01676,7,5,1
ORD0000008,11/10/2022,CUST031165,SELL00510,8,1,3
ORD0000009,6/26/2024,CUST026965,SELL01895,9,1,1
ORD0000010,5/1/2020,CUST029472,SELL01584,10,4,1
ORD0000011,4/11/2021,CUST005346,SELL01217,11,2,1
ORD0000012,5/23/2023,CUST046088,SELL01160,12,4,4
ORD0000013,11/26/2020,CUST026576,SELL00719,13,5,1
ORD0000014,1/22/2024,CUST006051,SELL00672,14,1,4
ORD0000015,3/28/2020,CUST025111,SELL01541,15,6,1
ORD0000016,10/28/2023,CUST040957,SELL00437,16,2,1
ORD0000017,1/28/2023,CUST000735,SELL01971,17,2,1
ORD0000018,5/21/2022,CUST038237,SELL00132,14,2,1
ORD0000019,8/14/2024,CUST040211,SELL01907,18,2,5
ORD0000020,5/10/2020,CUST046893,SELL00881,19,5,1
ORD0000021,8/12/2024,CUST041508,SELL01947,2,4,1
ORD0000022,8/25/2023,CUST048817,SELL01672,7,4,1
ORD0000023,2/8/2022,CUST048828,SELL01102,20,1,1
ORD0000024,12/9/2020,CUST033080,SELL01507,21,6,1
ORD0000025,2/24/2024,CUST041929,SELL01553,16,4,1
ORD0000026,12/8/2023,CUST035043,SELL00342,22,2,3
ORD0000027,3/16/2022,CUST043777,SELL01129,23,4,1
ORD0000028,1/20/2021,CUST037985,SELL01796,24,1,1
ORD0000029,4/30/2023,CUST000721,SELL01715,25,4,1
ORD0000030,8/13/2022,CUST008013,SELL00874,18,5,1
ORD0000031,10/3/2020,CUST018693,SELL01318,26,1,1
ORD0000032,3/30/2023,CUST044089,SELL00384,27,4,4
ORD0000033,4/4/2021,CUST011946,SELL01798,9,4,1
ORD0000034,8/30/2023,CUST049225,SELL00219,3,4,1
ORD0000035,1/22/2020,CUST048518,SELL01619,2,4,4
ORD0000036,9/9/2020,CUST047957,SELL01592,28,2,1
ORD0000037,1/17/2022,CUST043577,SELL00755,18,4,1
ORD0000038,5/6/2022,CUST029566,SELL01262,2,4,1
ORD0000039,5/3/2024,CUST004199,SELL00566,24,2,1
ORD0000040,4/19/2021,CUST042096,SELL01049,16,4,1
ORD0000041,12/18/2022,CUST017203,SELL00369,29,5,1
