orderitem_id,order_id,product_id,quantity,unit_price,discount,tax,shipping_cost,total_amount
1,ORD0000001,P00014,3,106.59,0,0,0.09,319.86
2,ORD0000002,P00040,1,251.37,0.05,19.1,1.74,259.64
3,ORD0000003,P00044,3,35.03,0.1,7.57,5.91,108.06
4,ORD0000004,P00041,5,33.58,0.15,11.42,5.53,159.66
5,ORD0000005,P00029,2,515.64,0.25,38.67,9.23,821.36
6,ORD0000006,P00023,4,449.73,0,215.87,2.74,2017.53
7,ORD0000007,P00030,2,219.81,0.2,28.14,14.97,394.81
8,ORD0000008,P00028,2,306.51,0.05,29.12,6.24,617.73
9,ORD0000009,P00031,4,146.09,0,46.75,7.03,638.14
10,ORD0000010,P00001,2,278.21,0.1,60.09,4.88,565.75
11,ORD0000011,P00046,1,141.42,0.05,6.72,9.7,150.77
12,ORD0000012,P00042,5,346.56,0.05,131.69,13.38,1791.23
13,ORD0000013,P00018,4,496.76,0.05,94.38,4.43,1986.5
14,ORD0000014,P00040,3,523.27,0,188.38,8.04,1766.23
15,ORD0000015,P00035,4,291.37,0.1,52.45,1.76,1103.14
16,ORD0000016,P00028,4,533.12,0.25,79.97,2.58,1681.91
17,ORD0000017,P00025,4,453.47,0.1,0,4.39,1636.88
18,ORD0000018,P00039,5,547.58,0,0,10.06,2747.96
19,ORD0000019,P00033,5,529.19,0,317.51,4.57,2968.03
20,ORD0000020,P00040,3,303.53,0,72.85,4.18,987.62
21,ORD0000021,P00028,1,226.26,0,11.31,9.55,247.12
22,ORD0000022,P00010,4,493.47,0,98.69,11.8,2084.37
23,ORD0000023,P00003,5,452.12,0,113.03,9.62,2383.25
24,ORD0000024,P00021,3,107.95,0.1,0,8.29,299.76
25,ORD0000025,P00008,1,16.68,0.15,1.13,2.39,17.7
26,ORD0000026,P00030,4,380.23,0.2,60.84,9.28,1286.86
27,ORD0000027,P00036,3,569.69,0.25,153.82,14.27,1449.89
28,ORD0000028,P00019,3,138.33,0,49.8,3.37,468.16
29,ORD0000029,P00036,3,381.45,0,205.98,8.99,1359.32
30,ORD0000030,P00045,5,199.99,0,179.99,5.19,1185.13
31,ORD0000031,P00046,2,269.8,0,97.13,1.49,638.22
32,ORD0000032,P00006,4,126.5,0.1,22.77,7.01,485.18
33,ORD0000033,P00047,2,151.95,0.05,14.44,3.5,306.64
34,ORD0000034,P00046,1,218.74,0,10.94,12.22,241.9
35,ORD0000035,P00021,5,294.8,0.1,159.19,4.08,1489.87
36,ORD0000036,P00033,1,357.76,0.25,0,6.76,275.08
37,ORD0000037,P00032,5,448.89,0,179.56,3.3,2427.31
38,ORD0000038,P00015,4,300.89,0,144.43,0.43,1348.42
39,ORD0000039,P00040,5,512.88,0.25,96.17,11.33,2030.8
40,ORD0000040,P00010,2,81.82,0.1,7.36,4.47,159.11
41,ORD0000041,P00035,3,215.9,0,77.72,8.45,733.87
42,ORD0000042,P00022,5,574.28,0.1,129.21,2.23,2715.7
43,ORD0000043,P00031,4,109.59,0,35.07,7.59,481.02
44,ORD0000044,P00025,3,88.46,0.15,40.6,2.73,268.9
45,ORD0000045,P00035,4,395.64,0.05,120.27,3.89,1627.59
46,ORD0000046,P00009,2,449.14,0.05,0,5.62,858.99
47,ORD0000047,P00039,4,121.45,0,0,3.75,489.55
48,ORD0000048,P00030,2,140.89,0.05,21.42,0.48,289.59
49,ORD0000049,P00014,3,249.84,0.2,47.97,3.26,650.85
50,ORD0000050,P00012,3,482.37,0.15,61.5,8.73,1300.27
51,ORD0000051,P00047,3,244.83,0.25,0,8.07,558.94
52,ORD0000052,P00039,4,353.85,0.05,67.23,6.09,1417.95
53,ORD0000053,P00050,3,324.76,0.3,34.1,0.75,716.85
54,ORD0000054,P00049,1,491.78,0.1,53.11,5.14,500.85
55,ORD0000055,P00044,4,549.22,0.05,104.35,8.22,2199.61
56,ORD0000056,P00044,4,364.08,0.25,131.07,12.95,1236.26
57,ORD0000057,P00022,2,509.59,0,183.45,3.79,1206.42
58,ORD0000058,P00005,5,182.55,0,45.64,12.08,970.47
